no,county,name,"name-for-sheet2site
sheet2site 連動","description
sheet2site 連動",座落區位,用地屬性,"link
sheet2site 連動","代表照片
sheet2site 連動",lat,lon,97x,97y,諮詢對象-民間/公部門,對策,行動類型,"Filter by this
sheet2site 連動",長版描述,"Detailed Description
sheet2site 連動","Button Text
sheet2site 連動",鄉鎮區,所有權單位,管理單位,國土利用調查代號,相關規範,縣市樹種推薦,LandScript-JPG,UnlimitedCitiesDIY-JPG,參考綠化案例,苗圃,植物園與環教場所,個案頁面連結,,推薦諮詢單位,單點多基地,Shape_Area,可種面積,再種植之面積,評估可再種植之面積
1,全國業務,農委會林務局,全國業務-農委會林務局,提供企業及民間團體認養林地事務,,造林地,https://www.forest.gov.tw/0000056,https://scontent.ftpe8-3.fna.fbcdn.net/v/t1.0-9/87178790_1410888372416554_4251273266552897536_o.jpg?_nc_cat=106&_nc_sid=8024bb&_nc_ohc=fsVt-Fde3j4AX-5dYlL&_nc_ht=scontent.ftpe8-3.fna&oh=7e5fc232327c08173ce899c569544a23&oe=5F3D6AFE,,,,,農委會林務局,,【捐款型】支持公部門綠化業務,"全國業務,,造林地,,【捐款型】支持公部門綠化業務",行政院農業委員會為結合民間力量，厚植森林資源，維護樹木健康與保育野生動物及生態環境，就行政院農業委員會及所屬機關(構)接受個人、團體或法人主動捐款，在符合公益勸募條例第5條第2項之規定，執行認養植護樹與野生動物保育及森林保護業務，爰於107年2月14日農林務字第1071740017號令訂定「行政院農業委員會接受捐款執行認養植護樹與野生動物保育作業要點」。,提供企業及民間團體認養林地事務行政院農業委員會為結合民間力量，厚植森林資源，維護樹木健康與保育野生動物及生態環境，就行政院農業委員會及所屬機關(構)接受個人、團體或法人主動捐款，在符合公益勸募條例第5條第2項之規定，執行認養植護樹與野生動物保育及森林保護業務，爰於107年2月14日農林務字第1071740017號令訂定「行政院農業委員會接受捐款執行認養植護樹與野生動物保育作業要點」。 ⦿ 洽詢單位：農委會林務局,業務整合入口,,,農委會林務局,,"(行政院農業委員會接受捐款執行認養植護樹與野生動物保育作業要點,https://www.forest.gov.tw/0000056)",,,,,,,http://tree.setnil.com/place/1/,,,,,,,
2,全國業務,經濟部水利署,全國業務-經濟部水利署,水岸土地認養資訊媒合平台,河濱地區,,http://marketing.geo.com.tw/wlam/,https://marketing.geo.com.tw/wlam/images/right11.jpg,,,,,經濟部水利署,營造方針：濱水環境營造,【代管認養型】我要認養,"全國業務,河濱地區,,營造方針：濱水環境營造,【代管認養型】我要認養",經濟部水利署自民國92年起規劃推動水岸認養制度，鼓勵法人、機關〈構〉及團體參與水岸土地維護管理，期待結合民間力量推動認養維護工作。,水岸土地認養資訊媒合平台經濟部水利署自民國92年起規劃推動水岸認養制度，鼓勵法人、機關〈構〉及團體參與水岸土地維護管理，期待結合民間力量推動認養維護工作。 ⦿ 洽詢單位：經濟部水利署,業務整合入口,,,經濟部水利署,,"(經濟部水利署轄管綠美化水岸土地維護管理要點,http://marketing.geo.com.tw/wlam/)",,,,,,,http://tree.setnil.com/place/2/,,,,,,,
3,全國業務,交通部國道高速公路局,全國業務-交通部國道高速公路局,高速公路交流道、邊坡及高架橋下景觀維護認養,,交通綠地,https://www.freeway.gov.tw/Publish.aspx?cnid=89,https://www.freeway.gov.tw/UserFiles/Image/Construction/01%E9%87%91%E7%8D%8E-%E7%BE%9E%E6%BE%80%E7%9A%84%E7%94%9C%E8%9C%9C%E6%BB%8B%E5%91%B3-%E5%90%B3%E5%87%B0%E8%87%A8.jpg,,,,,交通部高速公路局,營造方針：韌性都市林,【代管認養型】我要認養,"全國業務,,交通綠地,營造方針：韌性都市林,【代管認養型】我要認養",高速公路局為美化高速公路沿線各交流道、邊坡及高架橋下景觀，鼓勵公私機構、團體參與景觀維護認養工作，認養期間以三年為期，審核成效優良者得予續約。認養者應按當地特色及現有景觀設施作整體規劃設計及施工維護計畫，提出使用計畫書、圖(標明相關設施與橋梁及擋土等設施之間距)、地籍套繪圖(標明使用範圍尺寸、面積)及土地登記等資料，送分局(處)初審，分局處審查應注意符合高速公路公有土地提供使用注意事項第二點規定，審慎評估確認安全無虞後，報經本局核定後辦理簽約認養。,高速公路交流道、邊坡及高架橋下景觀維護認養高速公路局為美化高速公路沿線各交流道、邊坡及高架橋下景觀，鼓勵公私機構、團體參與景觀維護認養工作，認養期間以三年為期，審核成效優良者得予續約。認養者應按當地特色及現有景觀設施作整體規劃設計及施工維護計畫，提出使用計畫書、圖(標明相關設施與橋梁及擋土等設施之間距)、地籍套繪圖(標明使用範圍尺寸、面積)及土地登記等資料，送分局(處)初審，分局處審查應注意符合高速公路公有土地提供使用注意事項第二點規定，審慎評估確認安全無虞後，報經本局核定後辦理簽約認養。 ⦿ 洽詢單位：交通部高速公路局,業務整合入口,,,交通部國道高速公路局,,"(國道高速公路交流道、邊坡及高架橋下景觀維護認養,https://www.freeway.gov.tw/Publish.aspx?cnid=89)",,,,,,,http://tree.setnil.com/place/3/,,,,,,,
4,全國業務,經濟部,全國業務-經濟部,全國加工出口區 申請綠地認養,工業區,,https://www.moea.gov.tw/MNS/populace/Apply/Apply.aspx?menu_id=32814&apply_id=374,https://lh3.googleusercontent.com/pw/ACtC-3dZViR0WELqwzYvNZSGON5D2BFxV-UC0ROaQUHvfQPtYuY3NN_smz0LTKMfAPXsc7P-vVABwl7tRnFPwVuWn1YHvBeG8U6lRYPrXEOodzsDEfnJ7vh5uK8pYjVYyVyDZxdf5_iIoyEQGix4-GjzpVZQYA=w1235-h692-no?authuser=0,,,,,經濟部加工出口區管理處及所屬分處,,【代管認養型】我要認養,"全國業務,工業區,,,【代管認養型】我要認養","經濟部加工出口區管理處及所屬分處，為結合民間資源以增強企業形象，合作推動園區綠美化業務，凡區內員工、各事業、公私機構或社團，得向本處或分處提出申請認養，經審核通過後得請本處或分處提供協助。
● 楠梓園區：管理處第四組(環保景觀科) 電話:07-3611212#451
● 高雄園區、臨廣園區：高雄分處第三課 電話:07-8239338、07-8239375
● 臺中園區、臺中軟體園區：臺中分處清潔隊 電話:04-25322113#783
● 中港園區：中港分處第三課 電話:04-26581215#634
● 屏東園區：屏東分處第三課 電話:08-7518212#303","全國加工出口區 申請綠地認養經濟部加工出口區管理處及所屬分處，為結合民間資源以增強企業形象，合作推動園區綠美化業務，凡區內員工、各事業、公私機構或社團，得向本處或分處提出申請認養，經審核通過後得請本處或分處提供協助。
● 楠梓園區：管理處第四組(環保景觀科) 電話:07-3611212#451
● 高雄園區、臨廣園區：高雄分處第三課 電話:07-8239338、07-8239375
● 臺中園區、臺中軟體園區：臺中分處清潔隊 電話:04-25322113#783
● 中港園區：中港分處第三課 電話:04-26581215#634
● 屏東園區：屏東分處第三課 電話:08-7518212#303 ⦿ 洽詢單位：經濟部加工出口區管理處及所屬分處",業務整合入口,,,經濟部加工出口區管理處及所屬分處,,"(加工出口區土地綠化認養申請,https://www.moea.gov.tw/MNS/populace/Apply/Apply.aspx?menu_id=32814&apply_id=374)",,,,,,,http://tree.setnil.com/place/4/,,,,,,,
5,全國業務,財政部國有財產署,全國業務-財政部國有財產署,國有土地綠美化認養平台,,開發前用地,https://esvc.fnp.gov.tw/green/infor.php,https://www.fnp.gov.tw/images/3c0f498b652f47b6932ad54884af744c?imgKey=OzddXOTSs3GMza%2FlmmkBNcDrcJLHXxfrywXyj1Kq5tV1xp10NkczStKTZuDiVghFBvCYoSL1jrQ%3D,,,,,財政部國有財產署,營造方針：參與式規劃設計,【代管認養型】我要認養,"全國業務,,開發前用地,營造方針：參與式規劃設計,【代管認養型】我要認養",本署為推動國有非公用土地綠美化，已訂頒「國有非公用土地提供綠美化案件處理原則」，得以委託管理或認養方式提供各級政府機關、公立機構、公、私法人、設有代表人或管理人之非法人團體及自然人辦理綠美化。資料集：https://data.gov.tw/dataset/6054,國有土地綠美化認養平台本署為推動國有非公用土地綠美化，已訂頒「國有非公用土地提供綠美化案件處理原則」，得以委託管理或認養方式提供各級政府機關、公立機構、公、私法人、設有代表人或管理人之非法人團體及自然人辦理綠美化。資料集：https://data.gov.tw/dataset/6054 ⦿ 洽詢單位：財政部國有財產署,業務整合入口,,,財政部國有財產署,,"(國有非公用土地提供綠美化案件處理原則,https://esvc.fnp.gov.tw/green/infor.php),(國有非公用邊際土地提供認養促進環境保護案件處理原則,https://www.rti.org.tw/news/view/id/2046293)",,,,,,,http://tree.setnil.com/place/5/,,,,,,,
6,臺北市,工務局大地工程處,臺北市-工務局大地工程處,火燒跡地復育與認養機制,山坡地區,造林地,https://www.geo.gov.taipei/News_Content.aspx?n=23285747C0511EC4&sms=72544237BBE4C5F6&s=21D62B11D1F1866D,https://www-ws.gov.taipei/001/Upload/356/relpic/10162/8170475/39bbd007-1d8b-4ba2-a108-2696e0127c7e.jpg,,,,,臺北市政府工務局大地工程處,營造方針：火燒跡地復育,【捐款型】支持公部門綠化業務,"臺北市,山坡地區,造林地,營造方針：火燒跡地復育,【捐款型】支持公部門綠化業務",坡地遭逢火災侵襲，留下一片呈現退化狀態的火燒跡地，必須進行林相復育營造，除了可發揮水保防災功能，更可提升整體景觀價值。臺北市政府大地工程處邀請企業團體認養火燒跡地，共同合作投入資源，用行動實現永續環境。如有意願請依「臺北市山坡地遊憩場域及設施認捐或認養要點」檢具申請書向本處申請，或電洽本處諮詢(02)2759-3001#3312,火燒跡地復育與認養機制坡地遭逢火災侵襲，留下一片呈現退化狀態的火燒跡地，必須進行林相復育營造，除了可發揮水保防災功能，更可提升整體景觀價值。臺北市政府大地工程處邀請企業團體認養火燒跡地，共同合作投入資源，用行動實現永續環境。如有意願請依「臺北市山坡地遊憩場域及設施認捐或認養要點」檢具申請書向本處申請，或電洽本處諮詢(02)2759-3001#3312 ⦿ 洽詢單位：臺北市政府工務局大地工程處,業務整合入口,,,臺北市政府工務局大地工程處,,"(臺北市山坡地遊憩場域及設施認捐或認養要點,https://www.geo.gov.taipei/News_Content.aspx?n=23285747C0511EC4&sms=72544237BBE4C5F6&s=21D62B11D1F1866D)",,,,,"(臺北市-苗木申請業務窗口,https://www.doed.gov.taipei/News_Content.aspx?n=97F1F2ED1393E899&sms=9391BC948EC0703C&s=08103F9860C82172),(羅東林區林管處-苗木申請業務窗口,https://luodong.forest.gov.tw/0000277)",,http://tree.setnil.com/place/6/,,,,,,,
7,基隆市,外木山海岸,基隆市-外木山海岸,海岸區位植群營造,海岸-東海,公園綠地,https://www.facebook.com/media/set/?set=oa.3023278127790970&type=3,https://lh3.googleusercontent.com/w6o7HbcKrxzcmo1YiJR1prjCOwSsl3Xam_bKwxdJZWHKSJ1ooq2ppjwKfPacQ1fHCDXVBRDmD4gbq-eJMaS2N4qgDEtvyfUw8LZI-Xs7XNvYOnNPoETnJbsmAvsjpO4jw5fP_RfyAKI7y5WgU_2mVOXa-sTgwycRxBOBpJJsiDdXhyMhKJdWBOm2qvQtOxolEl_ALG7LeHevGG972ULfm7MwT3-3JWjCRT5OJLDQEsFR91lIpF7bqpdlEIpXwLl20hVtnFoXogdPRNvC6LPcl6TSH0mFXaqiCEEIbhVCmKcRQMAB2ga0YiDszvzoOo2sq_3prFhbp7TYhenLi_WuBlmsbZqx6tVatYUyXCtwiKzM_f0FrvFMf3Gb204wxU5NvvfcsuzfKNfHHV-rV0L1J7RMWXUtOgchxH14CtxvrCLA2IAKvpcbWi9PwSCtuPDrMwJ6Wlae56nkMris5wbC98A358poE-xPAHs_PY1UyNCB7-4fuXdSPMrJoS8M6UoJ5Zae6u_ejxSJYJFonbRxMI4GTn9Qx1_HD_ZKscNZ-C-j7bVjrBV2bvQ0nD_rHZnFdKfy9uMq1GgLDg9sxefORtKJss77vL7ML6aV8G8n_t_F32RMCPuzAUBbNs2AZzm3-wzpjoKHAMVmD8JLIDRAB26zJfh6Cn2v8bJMXZoNkWMU-OzzYpbqcwDnyvVq_PA=w1179-h843-no?authuser=0,25.1700338,121.7088198,,,,,【環境復育型】,"基隆市,海岸-東海,公園綠地,,【環境復育型】",,海岸區位植群營造 ⦿ 管理單位：交通部觀光局北海岸及觀音山國家風景區管理處,相簿 與 討論區,基隆市安樂區,基隆市,交通部觀光局北海岸及觀音山國家風景區管理處,70203,(需協調公部門使用最新資料查找),,,,"(2020.02.23 新北市林口海岸種樹活動,https://itree.com.tw/2020/01/09/2020-02-23-%e6%96%b0%e5%8c%97%e5%b8%82%e6%9e%97%e5%8f%a3%e7%a8%ae%e6%a8%b9%e6%b4%bb%e5%8b%95/)","(基隆市-苗木申請業務窗口,http://exlaw.klcg.gov.tw/LawContent.aspx?id=GL000372),(羅東林區林管處-苗木申請業務窗口,https://luodong.forest.gov.tw/0000277)",,http://tree.setnil.com/place/7/,,,,"3,962.69",0.5,0.35,693.47
8,基隆市,八斗子碼頭綠地,基隆市-八斗子碼頭綠地,期待提出與樹木共融的設施,海岸-東海,公園綠地,https://www.facebook.com/media/set/?set=oa.3023282377790545&type=3,https://lh3.googleusercontent.com/Er6J1h3NSB5_ua4eYaSHI2xuYl1HfazF0D5TeQPR8SfTUoY-hEKre4cvFEu_jJLeMpBVSWVo149j0MsNJFLzp30_5MmwgPCZjkyVIYAT7BFmCxPYFLTzeJ6xVGk9ErB-SShX_aWRr3Z-dCn8J9NByJYFtXEkR-Me6ObM5lQqqBf0wTAYYKEx5z1dGO1WNKkOj9z0d-0cfrCT_wRVPgwbRlzzPrpUwYzPCJ9Ge6ckAjUfrB-s2flMkyjFaMsirwoSPj852Dp9P_MA72gpsxYWnO2Yd5WjHH60QFpGBk3Vcgy_XPe50km6NlFcP2xeEU7Qx_HNDqmn9tTAo8ioYwK4vgmDFhNT2LyVJei8PA4H6NOaWiFoAzCBgV_05VeVjzwifzvbADm_gtlpq72Sephmnh8jTfynRo6VBmIU0KtHjG5sspZXW_7UpZw4_-bWcChB759NoXCKeF1lEv71Sgd5u29VJaLbH7Nyz3dKSw25DzHFLOJ7QXS3Vo7pktZHyPv_rmE5a7XCXfylWX2EqsRLThiWsSHTxQUHIzD-zYyD4U20s1411GyFxifQe5gj35fyrEIPPdebrANKQ9BC-jIdsN0QDlkHBKjZLfvw_AodqnPZOWgTXlDs3thlC92VkKRtemVUMsBpm0LlnroCcdAiKFGQOIao_-XIe06_stvV4dXZX0YcooaUrSAWAucf8rU=w1179-h843-no?authuser=0,25.1455369,121.7848628,,,,,【願景蒐集型】,"基隆市,海岸-東海,公園綠地,,【願景蒐集型】",,期待提出與樹木共融的設施 ⦿ 管理單位：行政院農業委員會漁業署,相簿 與 討論區,基隆市中正區,中華民國,行政院農業委員會漁業署,70201,(需協調公部門使用最新資料查找),,,,"(2020.02.23 新北市林口海岸種樹活動,https://itree.com.tw/2020/01/09/2020-02-23-%e6%96%b0%e5%8c%97%e5%b8%82%e6%9e%97%e5%8f%a3%e7%a8%ae%e6%a8%b9%e6%b4%bb%e5%8b%95/)","(基隆市-苗木申請業務窗口,http://exlaw.klcg.gov.tw/LawContent.aspx?id=GL000372),(羅東林區林管處-苗木申請業務窗口,https://luodong.forest.gov.tw/0000277)",,http://tree.setnil.com/place/8/,,,,"35,119.37",0.5,0.35,"6,145.89"
9,基隆市,天外天復育公園,基隆市-天外天復育公園,掩埋場環境營造 (光電板或植栽),,"公園綠地,掩埋場復育場址",https://www.facebook.com/media/set/?set=oa.3023289894456460&type=3,https://lh3.googleusercontent.com/GCVpASaUCmwSl0cL07aaqBCjMzHnb7jFznTowiYtCpa3SY_BIvOnJDCgS3yXQ5xTE01-sijU49NqDd50GNwcZBE_pgyOTQkqJzJKctEEpnuC0ioJ9VvNyY4FgyVorR6hqmvM_md_dOmd-CV5OWqxeFTyY8gVCwJiT9k_Arc8Sgjfvtgk3loE4Y-sItPhkJcjQiE4q5OZ8iFNmnt3O8mxDyzE-ytPuTZqP0YyYaGSCuCPqQq8Zd8RGS7FB5Vzd0H-piEEO4qaDLwxLJYr2P4VJQ8noN9Jmk-NiWowcH8BHLy3YmM1ssUr57-husWI_aa2c89NGiHHTt2_AjBbbG-RORdBasdpfRoIfOgkx9_9w3VgjBAAl8TzetwrB9_aIZ-iZIZstrKUlOQS3tcQerL7Al_Y1SIeZeyJO3ZqXeS_S38bl_P-qXZr04CMpIV4BbGRgdFXYbc1suN50GGa5M5ARBAlu_4yNsHNAouH-jnPsQIokMDvQzqw9yIWZf7eApuOih6i2MBmhuf0xLtP71tXXJ1PTEZ1EhnEKIEDtpf2I6TJwAvgOQT_NZeL2R9zbCB8WU6VGmBEV2GkfE3Cx-6He49y4cltJAPMNhUHPmnOaAzJYQlIN2CW-aPQ7RVnOYjRD-jrSUEYoAC7KgQcx4DF1EwZVfYsLX-g_AkCE_QF__8n5FPIs6wrKCynNj9E6ow=w1179-h843-no?authuser=0,25.1208402,121.7769372,,,,,【環境復育型】,"基隆市,,公園綠地,掩埋場復育場址,,【環境復育型】",,掩埋場環境營造 (光電板或植栽) ⦿ 管理單位：基隆市環境保護局,相簿 與 討論區,基隆市信義區,中華民國,基隆市環境保護局,60600,(需協調公部門使用最新資料查找),,,,,"(基隆市-苗木申請業務窗口,http://exlaw.klcg.gov.tw/LawContent.aspx?id=GL000372),(羅東林區林管處-苗木申請業務窗口,https://luodong.forest.gov.tw/0000277)",,http://tree.setnil.com/place/9/,,,,"131,355.12",0.5,0.35,"22,987.15"
10,基隆市,國道一號與八德路地區,基隆市-國道一號與八德路地區,交通綠地提升綠覆品質,,交通綠地,https://www.facebook.com/media/set/?set=oa.3023291494456300&type=3,https://lh3.googleusercontent.com/i2XR3nHoA5b7BtFVbxCgiGe0Nm-b7v3z_E6ADu2UHCQXAcgBduLx6SLZuxTmbSgim5tQdcPJXHBVM5TFE5XpusKoJ6a3-e-U0yTieKJ0NJ7nc8ekNuzKRr-Il6jI-2wKLBcukGnoQrhMfrGkFujAWChNmhXIfmgs6qw-YEx3xsomPfi5fkkhg7TA9bivI5yt5NLQDR-E4b8y1vnIf3FctdR0WyLSBnb3vSPnUM4RIzH4zScorfxGTaeIe2l39nmu2YWpRM52C0hx92XmyMD10OY_UnlTmZ-Mplwn2IPfrkwzjWOgG-nvcTzbAHXLpyL9N7eBZIrZ3jh5oIcJpGTAX2S6a9hA2r5miML9-B96DeWouFHlj5k57mHGa6-4WkV5klH7yBlfBLNsKOLsqHO_WDDLq4ZlmSJ7UbYkwtlzNJoibipRenvTaMWOkHcQtCJUcTdDd2Fg7gtxOFUD1jqbAZ7y6nWWYIuVzkhEA_lNrCEOZclZCQ94RZ1HhoGedkOa5zjK8JIg-zCHoT0jahFIAEsp-DRRkTacvFOLhWMjCRQcnCfbOIUSykLrSA_T_aB4pzFkn5DX3ZvtQqyB6h5VwzYxNeZX2oJ1KdIdYMYHEpPcfyjgVO4hJ_w1irecx2wUssR1Nz8fTk89MciNn_ccAACjirWQMGDE1IK9EPVr15mXC1Ma83QVAN7CmtN4YI4=w1179-h843-no?authuser=0,25.1142614,121.7282109,,,,,【環境復育型】,"基隆市,,交通綠地,,【環境復育型】",,交通綠地提升綠覆品質 ⦿ 管理單位：交通部高速公路局,相簿 與 討論區,基隆市七堵區,中華民國,交通部高速公路局,90300,基隆市主要計畫-保護區,,,,"(高公局「國道樹島示範區」植樹活動,https://tw.news.yahoo.com/%E9%AB%98%E5%85%AC%E5%B1%80%E4%B8%AD%E5%8D%80%E9%A4%8A%E8%AD%B7%E5%88%86%E5%B1%80%E9%96%8B%E5%95%9F%E5%9C%8B%E9%81%93%E5%BE%A9%E8%82%B2%E9%87%8C%E7%A8%8B%E7%A2%91-152642685.html),(新北四號公園韌性都市林計畫,https://www.tfri.gov.tw/main/news_in.aspx?mnuid=5425&modid=529&nid=30214)","(基隆市-苗木申請業務窗口,http://exlaw.klcg.gov.tw/LawContent.aspx?id=GL000372),(羅東林區林管處-苗木申請業務窗口,https://luodong.forest.gov.tw/0000277)",,http://tree.setnil.com/place/10/,,,,"4,643.59",0.5,0.35,812.63
